language,id,text,file,node,lineNumber,lock,comment
en,line:0f748fc,xxxxxSelect a language / Escoge tu idioma,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,3,ac4ee126,Line metadata: lastline
en,line:0c4d076,English,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,4,ba118bf7,
en,line:08bd06d,Español,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,6,94b382b6,
en,line:0c1608d,title: Scene_3_Dialogue_Butterfly,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,9,a48cb86d,
en,line:0ce47d2,"position: 247,-187",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,10,f9769d53,
en,line:0ae7230,---,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,11,cb3f91d5,
en,line:0d95050,Monarchs in Eastern North America have a second home in the Sierra Madre Mountains of Mexico. Monarchs in Western North America overwinter in California.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,12,8afb04f4,
en,line:0f253d3,"Some fly as far as 3,000 miles to reach their winter home! - U.S. Forest Service",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_2_Dialogue,14,fd0185da,
en,line:0a07a6c,"Jazmine: Ama, me gusta nuestra casa",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_3_Dialogue_Isabel,21,50375826,
en,line:0a0068d,Isabel: No- you know I didn’t always live in Arizona?,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_3_Dialogue_Isabel,22,fbc1e422,
en,line:0e1aaa0,Jazmine: Where did you live before? Was I there?,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_3_Dialogue_Isabel,23,5318881e,
en,line:08dbc11,"Isabel: Well you’ve visited there before. I grew up in Puerto Barrios,  a port town in Guatemala. I decided to move so far away to support my family.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_3_Dialogue_Isabel,24,c9b65a6a,
en,line:0947b0d,"Isabel: It was a long while ago, 1984. I was 18 and I had your tio Ever to take care of. Your Mom wasn’t even born yet.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_4_Dialogue,33,8b6f1484,
en,line:040a352,Isabel: I was working at a restaurant and living with my Mom and siblings. I am the second youngest child of my family. Barrios is where all of my family grew up and nobody had ever left.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_4_Dialogue,34,5a045198,
en,line:01549c4,"Isabel: Back then, my boss at the restaurant was named Lydia. She would rarely stop by but when she did, we’d talk about life.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_5_Dialogue,44,05052a2f,
en,line:059c480,Isabel: She told me that I needed to think about a future outside of Guatemala if I want a better life.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_5_Dialogue,46,a8e71139,
en,line:03d8f1a,Isabel: The way that Lydia pushed me to change my future was with her sister Connie. She was a coyote. Do you know what that means?,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_5_Dialogue,48,cd75d477,
en,line:0b784e8,Jazmine: …No,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_5_Dialogue,50,f3bfbe59,
en,line:091c788,"Isabel: She gets paid by people to take them across borders, usually groups of people.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_5_Dialogue,52,b044104c,
en,line:077beb6,"Isabel: Anyway, at that time, I was making very little at my job and it was hard to provide for Ever. He was my priority and my Mom helped me by watching him when I was at work.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_6_Dialogue,62,b4dd9b7b,
en,line:06a13cd,Isabel: But I just wanted more for our family. I seriously considered what Lydia was telling me about the world outside of Guatemala. Although it wasn’t an easy decision to make either.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_6_Dialogue,64,e3b6e4f7,
en,line:09db2cf,Isabel: One of the biggest factors in making my final decision was getting told that I’d be able to pay off my debt from moving to the US at a better job I’d find there.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_7_Dialogue,74,31ddc904,
en,line:0663159,Isabel: This means I had to get my Guatemalan I.D. so I could get through the border to Mexico. Then selling off valuables like jewelry to have pocketmoney for the long trip ahead.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_7_Dialogue,76,fb794bbd,
en,line:04cd29f,"Isabel: And of course, I would have to trust that my Mother would take care of Ever while I’m away, since I didn’t know when or how I would come back.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_7_Dialogue,78,60bcb1c3,
en,line:0adcf73,"Isabel: My plan was to always send money back home to Guatemala and support my family financially. I was the first in my family to ever attempt such a journey, and I knew nobody in the U.S.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_7_Dialogue,80,518bd839,
en,line:01e02ba,"Isabel: So, I said my final goodbyes to my sisters and brothers before I headed to the bus stop where my Mother, Ever, and I would meet Connie.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_8_Dialogue,89,d8497c07,
en,line:0f514c8,Isabel: Seeing My Mom and Ever there to see me off made me feel like my heart was going to be left there.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_8_Dialogue,91,949a3a77,
en,line:01c08ba,"Isabel: Connie told me that she’d cover my debts and that I wouldn’t have to worry about a thing, since I was friends with her sister. I had to attempt it right?",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_8_Dialogue,93,a4bc047a,
en,line:083f3a7,Isabel: It was a grueling journey to make it from Puerto Barrios through Mexico.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_9_a_Dialogue,101,6f96c63e,
en,line:0f809bb,Isabel: The group of about 20 of us went through 20 long days and nights. We would stay in random places as we made it across the entirety of Mexico. .,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_9_b_Dialogue,110,c283a5e4,
en,line:05dc761,Isabel: Connie’s job as a coyote meant that she had arrangements with people in different parts of Guatemala and Mexico to let us spend the night in places.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_9_b_Dialogue,112,bb15ecd9,
en,line:0795af6,"Isabel: After what seemed like forever, we made it to Tijuana, Mexico. There we had to make the hour-long walk to San Ysidro.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_10_Dialogue,121,36bebb1e,
en,line:0f6c5b5,"Isabel: There, we walked and then were put into the trunk of a car- breathing through a straw so we weren’t caught while we were transported to Los Angeles.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_10_Dialogue,123,54ed334c,
en,line:01c1d22,"Isabel: I remember how stuffy and hot it was, and how I couldn’t keep my mind off of how strange all of this was to me.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_10_Dialogue,125,3c1a23a9,
en,line:05c59f6,Isabel: Would I really get all that I was promised out of the U.S. after going through all of this?,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_10_Dialogue,127,48cf40b4,
en,line:058a62c,"Isabel: Well, once we made it through that part I thought it would be pretty easy to handle the next part. For the second car ride, I was driven by Don Raymundo towards Los Angeles.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_11_Dialogue,136,94b59cae,
en,line:03e3a4c,Isabel: I had been told that there was lots of work there and you’d make more than you did back in Guatemala that’s for sure,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_11_Dialogue,138,2.99E+54,
